foodId,label,category,foodContentsLabel,image
food_a656mk2a5dmqb2adiamu6beihduu,Champagne,Generic foods,,https://www.edamam.com/food-img/a71/a718cf3c52add522128929f1f324d2ab.jpg
food_a656mk2a5dmqb2adiamu6beihduu,Champagne,Generic foods,,https://www.edamam.com/food-img/a71/a718cf3c52add522128929f1f324d2ab.jpg
food_b753ithamdb8psbt0w2k9aquo06c,"Champagne Vinaigrette, Champagne",Packaged foods,OLIVE OIL; BALSAMIC VINEGAR; CHAMPAGNE VINEGAR; GARLIC; DIJON MUSTARD; SEA SALT.,
food_b3dyababjo54xobm6r8jzbghjgqe,"Champagne Vinaigrette, Champagne",Packaged foods,INGREDIENTS: WATER; CANOLA OIL; CHAMPAGNE VINEGAR; SUGAR; OLIVE OIL; SALT; DRIED GARLIC; DRED SHALLOTS; BLACK PEPPER; XANTHAN GUM; SPICE,https://www.edamam.com/food-img/d88/d88b64d97349ed062368972113124e35.jpg
food_a9e0ghsamvoc45bwa2ybsa3gken9,"Champagne Vinaigrette, Champagne",Packaged foods,CANOLA AND SOYBEAN OIL; WHITE WINE (CONTAINS SULFITES); WATER; VINEGARS (CHAMPAGNE AND WHITE WINE); SUGAR; SALT; MUSTARD SEED; MONOSODIUM GLUTAMATE; GARLIC*; ONION*; SPICE; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; CHIVES*; TAMARIND; NATURAL FLAVOR.,
food_an4jjueaucpus2a3u1ni8auhe7q9,"Champagne Vinaigrette, Champagne",Packaged foods,WATER; CANOLA AND SOYBEAN OIL; WHITE WINE (CONTAINS SULFITES); VINEGARS (CHAMPAGNE AND WHITE WINE); SUGAR; SALT; MUSTARD SEED; MONOSODIUM GLUTAMATE; GARLIC*; ONION*; SPICE; XANTHAN GUM; POTASSIUM SORBATE ADDED TO MAINTAIN FRESHNESS; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; CHIVES*; TAMARIND.,
food_bmu5dmkazwuvpaa5prh1daa8jxs0,"Champagne Dressing, Champagne",Packaged foods,SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WATER; WHITE WINE VINEGAR; SUGAR; SALT; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; NATURAL FLAVOR; TAMARIND.,https://www.edamam.com/food-img/ab2/ab2459fc2a98cd35f68b848be2337ecb.jpg
food_alpl44taoyv11ra0lic1qa8xculi,Champagne Buttercream,Generic meals,sugar; butter; shortening; vanilla; champagne; milk,
food_byap67hab6evc3a0f9w1oag3s0qf,Champagne Sorbet,Generic meals,Sugar; Lemon juice; brandy; Champagne; Peach,
food_am5egz6aq3fpjlaf8xpkdbc2asis,Champagne Truffles,Generic meals,butter; cocoa; sweetened condensed milk; vanilla extract; champagne; powdered sugar,
food_bcz8rhiajk1fuva0vkfmeakbouc0,Champagne Vinaigrette,Generic meals,champagne vinegar; olive oil; Dijon mustard; shallot; honey; Salt; pepper,
food_a79xmnya6togreaeukbroa0thhh0,Champagne Chicken,Generic meals,"Flour; Salt; Pepper; Boneless, Skinless Chicken Breasts; Butter; Olive Oil; Champagne; Mushrooms; Heavy Whipping Cream",
food_aoxaf73b3o0igebpj6wjga6kqhco,Strawberry Champagne,Generic meals,Champagne; Strawberries,
food_ax1n26waalpd9cbc64bjob7pw6hg,Champagne Jelly,Generic meals,Champagne; gelatine; caster sugar; blueberries,
food_b4va8u0bb6pf74akh2rtcb3llna9,Champagne Punch,Generic meals,champagne; simple syrup; orange juice; blueberries; raspberries; orange; ice,
food_a4j8wm8ayflf13b45t3c3bk9w4ek,Champagne Sangria,Generic meals,mint leaves; Champagne; orange juice; lemon; lime; strawberries; ice; sugar,
food_bw7gtgxbnn7nbwa62ppwpar9ljc1,"Champagne Cotton Candy, Champagne",Packaged foods,SUGAR; ARTIFICIAL & NATURAL FLAVOR.,
food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png
food_bba727vaimolf0b8stgoibx7ujei,Champagne Cake,Generic meals,flour; baking powder; salt; butter; sugar; eggs; vanilla extract; champagne; powdered sugar,
food_a6mj2obbqy38soat01vrxaqnvvet,Champagne Cupcakes,Generic meals,butter; sugar; eggs; champagne; plain yogurt; flour; baking powder; salt; powdered sugar,
food_aj3tbbpbl068bhagn76uubtzyzyv,Champagne Vinegar,Packaged foods,CALIFORNIA CHAMPAGNE WINE VINEGAR; FRESH TARRAGON.,
